GO Term	Study #	Study Freq.	Pop. Freq.	p-value	q-value	name	gene products
GO:2000765	13	1.7%	0.33%	1.05E-6	3.69E-5	regulation of cytoplasmic translation	AAF46188.1,AAZ52499.1,AAN09178.1,AAF51989.1,AAZ52500.1,AHN59423.1,AAZ52502.1,AAZ52501.1,ABV53667.1,AAF53046.1,ABW08605.1,AAZ52498.1,AAZ52497.1
GO:0038160	4	0.53%	0.02%	1.22E-6	4.14E-5	CXCL12-activated CXCR4 signaling pathway	AGB95616.1,AGB95615.1,AAF50946.2,AAF50943.2
GO:0046726	4	0.53%	0.02%	1.22E-6	4.14E-5	positive regulation by virus of viral protein levels in host cell	AGB93237.1,AGB93236.1,EAA45988.2,EAL24542.1
GO:0035999	5	0.66%	0.04%	2.08E-6	6.46E-5	tetrahydrofolate interconversion	AAX52944.1,AAG22140.2,AFH06346.1,AAN13478.1,AAN13479.1
GO:1903599	9	1.2%	0.16%	2.57E-6	7.84E-5	positive regulation of autophagy of mitochondrion	AAF46188.1,AAZ52499.1,AAN09178.1,AAZ52498.1,AAZ52500.1,AAZ52497.1,AHN59423.1,AAZ52502.1,AAZ52501.1
GO:0001780	5	0.66%	0.04%	4.54E-6	1.35E-4	neutrophil homeostasis	AAX52944.1,AAG22140.2,AFH06346.1,AAN13478.1,AAN13479.1
GO:0022402	85	11%	6.9%	5.13E-6	1.5E-4	cell cycle process	AAF50387.1,AHN59254.1,AAF57162.2,AAF47965.1,AAN10908.1,AAF53139.1,AAF45636.1,AAF55399.1,AAN11011.2,ADV37544.1,AAF54990.2,ABV53667.1,AAN09087.1,AAN14363.1,AAF53478.1,AGB94319.1,AAF47566.1,AAF57128.1,AAF51500.1,AAG22304.1,AAF56915.1,AAF50740.1,AAF49663.3,AAF48292.1,AAF58765.2,AAF45793.1,AAN13836.2,AAF48460.2,AAF58684.1,AAF56252.1,AGB94562.1,AAF45813.1,AGB95650.1,AHN59919.1,AAF50757.1,AAF52090.1,AAF47090.3,AAF50296.1,AAF53046.1,AAF59161.1,API61809.1,AHN56344.1,AAF46650.2,AAF55799.1,AAF58528.2,AAN10907.1,AGB93418.1,AAF47966.2,AAF53076.2,AAF54723.1,AAF52944.2,AAF53690.1,AAF47868.1,AAN09088.2,AAF52925.1,AAF53477.1,AFH03711.1,AAF53479.1,AAF54053.2,AHN59562.1,AGB92869.1,AHN59355.1,AHN54347.1,AAF53976.2,AAF56330.3,AAF48064.2,AAF52038.1,AAF52013.3,AAF48983.1,AAF55450.1,AGB96057.1,AAF57799.1,ALI30530.1,ACZ94962.1,AAF50735.1,AAF46023.1,AHN57180.1,AAF48644.1,AAF57298.1,AAF56983.2,AAF52932.1,ACL83469.1,AHN59301.1,AHN59599.1,AHN58024.1
GO:0001835	6	0.8%	0.07%	5.16E-6	1.5E-4	blastocyst hatching	AHN54210.1,AAO41498.1,AAF52008.3,AAN13243.3,AHN54209.1,AAF52464.1
GO:0106300	4	0.53%	0.02%	5.93E-6	1.7E-4	protein-DNA covalent cross-linking repair	AAN09088.2,AAN09087.1,AAF54328.2,AAF45813.1
GO:0044282	35	4.6%	2.1%	7.29E-6	2.07E-4	small molecule catabolic process	AHN56230.1,AAF52773.4,AFH07986.1,AFH06709.1,AFH06708.1,AHN57285.1,ABI31145.1,ADV37218.1,AGB92841.1,AHN57194.1,AGB93996.1,AAN14292.1,AGB93173.1,AAF54128.2,AAF47180.1,AAN11508.1,AAF53919.1,AHN54060.1,AAF57199.2,AHN54294.1,ALI30535.1,AHN54293.1,AHN54061.1,AHN56090.1,AAF58873.1,AAF57639.2,AAF47600.1,AAF52830.2,AAF54636.2,AAF45374.2,AHN56229.1,AAM68444.1,AAF58191.1,AAF51517.1,AAF58760.2
GO:0019346	5	0.66%	0.04%	8.84E-6	2.43E-4	transsulfuration	AAX52944.1,AAG22140.2,AFH06346.1,AAN13478.1,AAN13479.1
GO:0006383	9	1.2%	0.19%	9.76E-6	2.64E-4	transcription by RNA polymerase III	AGB94414.1,AAO41239.1,AAF53770.1,AAF54828.2,AAF50032.1,ADV37303.1,AGB93098.1,AGB93097.1,AAF52185.1
GO:0061709	9	1.2%	0.2%	1.44E-5	3.76E-4	reticulophagy	AAF46188.1,AAZ52499.1,AAN09178.1,AAZ52498.1,AAZ52500.1,AAZ52497.1,AHN59423.1,AAZ52502.1,AAZ52501.1
GO:0000963	8	1.1%	0.15%	1.54E-5	3.97E-4	mitochondrial RNA processing	AAN10808.2,AAF56288.3,AAN11538.2,AAF51964.1,AAF45578.3,ACZ94811.1,AAF57683.1,AAN10809.2
GO:0001578	14	1.9%	0.48%	1.56E-5	3.97E-4	microtubule bundle formation	AHN59254.1,AAF54233.1,AAF47966.2,AGB96298.1,AAF45636.1,AGB94562.1,AAF54007.1,ACZ94847.1,ADV37544.1,API61809.1,AAF56305.1,AHN59562.1,AAF57441.1,AAF49663.3
GO:0019478	4	0.53%	0.03%	1.73E-5	4.35E-4	D-amino acid catabolic process	AAF54636.2,AHN57285.1,AHN56090.1,AAF58760.2
GO:0019254	4	0.53%	0.03%	1.73E-5	4.35E-4	carnitine metabolic process, CoA-linked	AHN57194.1,ABI31145.1,ALI30535.1,AAF54128.2
GO:0002230	7	0.93%	0.12%	2.18E-5	5.22E-4	positive regulation of defense response to virus by host	AAN09022.2,AAN09023.2,ABI31309.1,AAF53163.2,AAF45533.3,AHN59222.1,AAF55950.1
GO:0090210	6	0.8%	0.08%	2.49E-5	5.82E-4	regulation of establishment of blood-brain barrier	AAN10908.1,AAN10907.1,AAF53477.1,AAF53478.1,AFH03711.1,AAF53479.1
GO:0030258	18	2.4%	0.78%	2.51E-5	5.82E-4	lipid modification	AHN56230.1,AFH07986.1,AAF53919.1,ABI31145.1,ALI30535.1,AAF58873.1,AAO41498.1,AAF52895.2,AGB92841.1,AHN57194.1,AAF52008.3,AAN13243.3,AAF52830.2,AAF45374.2,AHN56229.1,AAF58191.1,AGB93173.1,AAF54128.2
GO:0050709	9	1.2%	0.22%	2.97E-5	6.57E-4	negative regulation of protein secretion	AAF51367.2,AHN54060.1,AHN57455.1,AAF55916.1,API64982.1,AAN13882.1,AHN54061.1,AGB92408.1,AAF51517.1
GO:0031631	3	0.4%	0.01%	3.67E-5	7.87E-4	negative regulation of synaptic vesicle fusion to presynaptic active zone membrane	AHN57455.1,AAF55916.1,AAN13882.1
GO:0007342	3	0.4%	0.01%	3.67E-5	7.87E-4	fusion of sperm to egg plasma membrane involved in single fertilization	ACL83214.1,AAF47333.3,ACL83215.1
GO:0007054	3	0.4%	0.01%	3.67E-5	7.87E-4	spindle assembly involved in male meiosis I	AGB94319.1,AAF50296.1,AHN58024.1
GO:0016346	3	0.4%	0.01%	3.67E-5	7.87E-4	male meiotic chromosome movement towards spindle pole	AGB94319.1,AAF50296.1,AHN58024.1
GO:0006168	3	0.4%	0.01%	3.67E-5	7.87E-4	adenine salvage	AHN57933.1,AHN57934.1,AAF47589.1
GO:0043012	3	0.4%	0.01%	3.67E-5	7.87E-4	regulation of fusion of sperm to egg plasma membrane	ACL83214.1,AAF47333.3,ACL83215.1
GO:0033313	4	0.53%	0.03%	3.93E-5	7.87E-4	meiotic cell cycle checkpoint signaling	AAF52090.1,AAF55450.1,AGB96057.1,AGB95650.1
GO:0006850	4	0.53%	0.03%	3.93E-5	7.87E-4	pyruvate import into mitochondria	AAN13434.1,AGB95807.1,AAF54407.1,ACZ94868.1
GO:0007052	19	2.5%	0.88%	3.95E-5	7.87E-4	mitotic spindle organization	AAF56330.3,AHN59254.1,AAF47965.1,AAF58765.2,AAF45793.1,AGB93418.1,AAF58684.1,AAF45636.1,AAF55399.1,AAF57799.1,AAF47868.1,AAF54990.2,AGB94319.1,AAF50296.1,AHN59301.1,API61809.1,AHN56344.1,AHN58024.1,AAF46650.2
GO:0043695	5	0.66%	0.06%	6.28E-5	1.21E-3	detection of pheromone	ABV53901.1,AHN56610.1,ACL83202.1,ACL83201.1,ABV53902.2
GO:0061053	6	0.8%	0.1%	6.3E-5	1.21E-3	somite development	AAX52944.1,AAG22140.2,AFH06346.1,AAN13478.1,AAN13479.1,AAF56025.1
GO:0044458	9	1.2%	0.24%	6.64E-5	1.25E-3	motile cilium assembly	ADV37544.1,AAF49188.1,AHN59982.1,AGB96298.1,AAF56305.1,AAF50849.3,AGB94562.1,AAF57441.1,AAF49663.3
GO:0047497	9	1.2%	0.24%	6.64E-5	1.25E-3	mitochondrion transport along microtubule	AAF46188.1,AAZ52499.1,AAN09178.1,AAZ52498.1,AAZ52500.1,AAZ52497.1,AHN59423.1,AAZ52502.1,AAZ52501.1
GO:1900087	7	0.93%	0.14%	7.16E-5	1.33E-3	positive regulation of G1/S transition of mitotic cell cycle	AAF50387.1,AAN10908.1,AAN10907.1,AAF53477.1,AAF53478.1,AFH03711.1,AAF53479.1
GO:0006048	7	0.93%	0.15%	8.82E-5	1.6E-3	UDP-N-acetylglucosamine biosynthetic process	AFH06677.1,AGB96461.1,AFH06678.1,AGB96460.1,AAN14182.1,AAF56929.1,AGB96459.1
GO:0048702	5	0.66%	0.07%	9.16E-5	1.6E-3	embryonic neurocranium morphogenesis	AAX52944.1,AAG22140.2,AFH06346.1,AAN13478.1,AAN13479.1
GO:0007094	6	0.8%	0.11%	1.07E-4	1.84E-3	mitotic spindle assembly checkpoint signaling	AAF57162.2,AAF57298.1,AAF55450.1,AAF57128.1,AGB96057.1,AAF50740.1
GO:0010564	42	5.6%	3.1%	1.4E-4	2.3E-3	regulation of cell cycle process	AAF50387.1,AAF57162.2,AAN10908.1,AAN10907.1,AAF47966.2,AAN11011.2,AAF53690.1,AAN09088.2,AAF53477.1,AAF46283.1,AAN09087.1,AAF53478.1,AFH03711.1,AAF57128.1,AAF53479.1,AAF47808.2,AHN59562.1,AAF56915.1,AAN13773.1,AAF55258.1,AAF50740.1,AAN13772.1,AAF57173.1,AAF55557.1,AAF45793.1,AAF55556.1,AAF55450.1,AGB96057.1,AAN13836.2,AAF56252.1,AAF57944.1,AAF57799.1,AAF45813.1,AGB95650.1,AAF50735.1,AAF57298.1,AAF52090.1,AAF52932.1,AHN59301.1,AHN56344.1,AGB96526.1,AAF46650.2
GO:0006166	3	0.4%	0.02%	1.43E-4	2.34E-3	purine ribonucleoside salvage	AHN57933.1,AHN57934.1,AAF47589.1
GO:1901673	4	0.53%	0.04%	2.18E-4	3.25E-3	regulation of mitotic spindle assembly	AAF57173.1,AGB96526.1,AAF56252.1,AAF50740.1
